Room ID,Room Code
2b29c92e4b6701c780346cd3b05d33ef,MAGIC Spell Studios (MSS)-3158
2c52f664f5ddf7ece49a6d1d7be4c015,James E Booth (BOO)-4610
2cb8d9505e067822d6818be1f11d6107,AUK 401
2d08d70bc1565b2a755d0959937c7408,James E Gleason Hall(GLE)-4460
2d253f04c6176c18bb8d5389679636df,Lyndon Johnson Hall (LBJ)-2460
2d692b68517813ac1c145713fb8984fc,Frank E. Gannett (GAN)-3140
2de903d97e5fcd76bc747146a6748254,James E Gleason Hall(GLE)-2355
2e603f9cdd2010d145213258ddfc0a7f,James E Gleason Hall(GLE)-2259
2eedc3693ab366308eb6623ae9293345,MAGIC Spell Studios (MSS)-3170
2f0e554c595d4d63d8bb5087cb28d358,James E Gleason Hall(GLE)-2030
2f11574c85d5295167e5324d67b57b02,Thomas Gosnell Hall (GOS)-2173
2f56facff91ff1b72def94d22615c380,MAGIC Spell Studios (MSS)-2180
2fb7d64ba507bc358b3158e66c17bb9d,James E Booth (BOO)-3520
2fe23ac5188384c39aec1d885bdd571c,George Eastman Hall (EAS)-4287
30d520d6d4596e430ad11b1c053dba15,Ctr Biosci Ed & Tech(CBT)-2140
318cf718d5bd9ead06fbfa06a7296906,James E Gleason Hall(GLE)-2260
319716951484fe796168b68302db9432,Thomas Gosnell Hall (GOS)-1231
3209fff40a51f47f43fab14dfe04106f,Dubai E-018
3213644e63ecf998b4f06c8cab3369e8,Lyndon Johnson Hall (LBJ)-2440
32638f916112b87e342d0d514addc718,Wallace Library (WAL)-3610
326f216d9badadcc1f7740b7e1044f37,AUK 201
3288ba5a674c9e8b349e9e1c3e95d8f9,James E Gleason Hall(GLE)-4460
332bb1d63ba0ccf467cabb1dcbc8bd3f,James E Booth (BOO)-4623
3373aae5a53fb64a8e9c8004382e435c,Golisano Hall (GOL)-2750
3393fa136edd804301b600eea62efdf8,Engineering Hall (ENG)-2700
33bf990f5c5e34a65bceaee57a0b685e,Online
33c7bec1242487ff07a911184cff1cff,James E Gleason Hall(GLE)-4460
33da59f2e25662763f412b7175a86f2f,Engineering TechHall(ENT)-2165
347591939220b6847ca496537ddc8459,Lyndon Johnson Hall (LBJ)-1605
349f47c4405125d9ceac4561162e3fbf,George H Clark Gym (CLK) - GYM
34ed0010dc7ff9a6919e2aef808750b5,Max Lowenthal Hall (LOW)-3235
3599b179dd3a4018f918e28e364b3227,Max Lowenthal Hall (LOW)-2312
359abd5b5e2d9d3668daf528cd8db490,Frank E. Gannett (GAN)-4090
35d3c27b407939cee817244c69d592d7,Frank E. Gannett (GAN)-2236
360f4740c051e5c85dc4664ff29a982f,James E Booth (BOO)-3496
36279cce1d884de821932b358e0dc07b,Red Barn
367599476cb8efeccf471d7dd1b07651,James E Booth (BOO)-4510
36936d02bb2a676023a1041b5a675b71,James E Booth (BOO)-A311
36bd84c481f57a4059a562c7d30d1f5c,James E Gleason Hall(GLE)-2360
36cfb9b1f54094b4951d5c9857685720,Monroe Hall (MON)-2030
37586cf796701ac1e5dfebc21a7f5aa2,AUK 204
37da0025b5e7c3e9a475446ca0782b17,James E Booth (BOO)-3634
39a27f795780c604d05b5d02c3db6b78,James E Gleason Hall(GLE)-2260
39e04e903beca4fe307f5f3eae070ede,Hale-Andrews Center (HAC)-1325
39e4922b5872b51fb8e1d2df547bba4f,Golisano Hall (GOL)-2520
3a3ad504234941f189215165c5583098,Sustainability Inst(SUS)-2140
3a4dce537d5fed63115bc8431a8aaddb,George Eastman Hall (EAS)-4125
3ae29c06f5278da7e88d43b8ae52f0d0,Monroe Hall (MON)-2060
3b87c97c4df60ede80412484df1e7593,James E Gleason Hall(GLE)-1001
3bd22d6484594dbf28f40db2d3dd0bfc,James E Booth (BOO)-2480
3cc17bebc6a5cc6628b5100dd40d640b,Golisano Hall (GOL)-1445
3cf322333d048d86635c888b8de3d889,Max Lowenthal Hall (LOW)-3245
3cffce3e88180d14f1b565d6aa3660f8,Institute Hall (INS)-2170
3d2ebbba5522ff7c55db064794da3112,Monroe Hall (MON)-2089
3d32398f92725045f83e15ad8eddf2ff,Lyndon Johnson Hall (LBJ)-3625
3d4f1667e73c1a136de459ec67bb22a6,Thomas Gosnell Hall (GOS)-1250
3dc9c8ae8a6512ea7aa98088a1aa6aac,Dubai D-210
3e53df1e857bca3906a22066f51b6173,Carlson Ctr Imaging (CAR)-3205
3ee8bc6dc4a8120b19229d35b4b59907,Thomas Gosnell Hall (GOS)-3261
3f6f27e517108fad27b4de9b4d1f1580,Frank E. Gannett (GAN)-2182
400950ec7ec0812ee7b9f5398835e8e1,James E Gleason Hall(GLE)-3280
40ddb26c768efef59751103a88ca6a67,Student Alumni Union(SAU)-A130
413bb030339defe635232abf981c7ac2,Golisano Hall (GOL)-1750 CSR
42227c57e8ff3b505fbf2c5931fdd079,Thomas Gosnell Hall (GOS)-1154
42e69ec814d24608e1052ccea83a1b97,Engineering TechHall(ENT)-3125
43bf5e83195159193b0205ef948618e9,Wallace Library (WAL)-A440
44d3297197efde460281b684560518fa,George Eastman Hall (EAS)-3355
44e3f856f523e02571238d024d0b0035,Dubai H-211
44e6296597466324e14a4f797206d410,Golisano Hall (GOL)-2000
4504d5ec6f661e398d32ef6afd945cc0,Frank E. Gannett (GAN)-3030
45314c79fcc2394ad365c213f03d7b8e,James E Booth (BOO)-2631
4589034b7ec523b7c01bccc69b5cea05,Carlson Ctr Imaging (CAR)-1275
45e724d7a638b7ad75dc24670ed0bd4e,Off-Campus Location
464999cd9c83f14ae14459b055709e03,Lyndon Johnson Hall (LBJ)-1480
464a7eadb7d48bdb1d4d4f3f2575456a,Thomas Gosnell Hall (GOS)-3345
468a0803fdc9dedb57cd292cd1883071,Max Lowenthal Hall (LOW)-1115
46b0ff165201bbc4cd972eca960b12c4,Lyndon Johnson Hall (LBJ)-2450
4726e33114f0792f12659cb44e0be9da,James E Gleason Hall(GLE)-3100
47c4631ecc1833a1a8ba9dc027ae7f3a,Dubai D-316
48298f2cccb8360dd48bb013c67f2cdb,Golisano Hall (GOL)-2400
49075af56415333bddcf5079e6d1c9b8,DBK 31
49f62b5eb6e32eaf06ea6e28986cbd7e,George Eastman Hall (EAS)-Lobb
4a20a576267f99b882292b0f191ce3fa,Engineering TechHall(ENT)-1165
4a519b785c19f8b3d1d2ea94d160c462,AUK 104
4a698e1b61d9d03e29722f0ab5436d05,Max Lowenthal Hall (LOW) -1215
4a7083b2ab5d02bb1c29355828ddcb8e,SH Explore & Devel (SHD)-1360
4b5e366ffc4b429c845c5cd7b81cc9c3,Hugh L Carey Hall (HLC)-2585
4b63256ece188f35c668ad62ab77e917,Engineering Hall (ENG)-2700
4bdfa1f9f64550d28b2db386e5883147,James E Booth (BOO)-1540
4c23db60246332f9225a6f749be087de,Lyndon Johnson Hall (LBJ)-2430
4c69fc0673a2db93cb86635b7601a411,Dubai E-110
4d6fd26b59c842ece29f72e3756265a3,James E Booth (BOO)-2630D
4d8973e88d58bbd3c435fd1380b0c2bf,Hale-Andrews Center (HAC)-1290
4e435637a2ab535a4f3b4907d3364fc0,MAGIC Spell Studios (MSS)-2010
4e8602b1d601bd4a4ddc80f44fa7d80d,Golisano Hall (GOL)-3650
4e931ea0820d56eaf3af6d91f44174cb,James E Booth (BOO)-2630A
4f2cb9bf60a76e22f2c80fb58cbe87bb,James E Gleason Hall(GLE)-3489
50177aea26c09d3e0691cb447a3a6df7,Lyndon Johnson Hall (LBJ)-1811
508abfaa4646c122e3444ce603fec48c,Frank E. Gannett (GAN)-A060
512f4d8e536b4ee7fa97a9e0d0e46a38,George Eastman Hall (EAS)-3171
522c9c2153fa79b57087a85334eb9363,Max Lowenthal Hall (LOW)-1135
524a95b9806b9d7ce4517d3305d265b0,Thomas Gosnell Hall (GOS)-2163
52f61bea81489a1752794662a526b6ab,AUK R&D Lab
52f630cf31ab71907e2942e8aa5117db,ZAG-06
5355c2b06e69d478cc40bbb5bf1a72b6,Institute Hall (INS)-2190
535bcbdcf096559262e05c04d90899fa,James E Gleason Hall(GLE)-2130
53770baa7774fd54a0c3e673e7857277,Wallace Library (WAL) - 1660
538f5aee37764037adfab8b93a518d08,Dubai C-109
53e7e63469d454bb5d35c5f570f247d6,Thomas Gosnell Hall (GOS)-2231
53f2a21241bd6e0ec6c7d10ae5531192,Engineering Hall (ENG)-1535
53f888ed117fa2a93e3507a978832c4e,James E Gleason Hall(GLE)-2159
5433b98480c858f244d9109e135741d6,SH Explore & Devel (SHD)-2120
54835d5b834780716db8caf5e7ab9da7,Max Lowenthal Hall (LOW)-3215
54e6006214dd44ff0ffea421049209d0,George Eastman Hall (EAS)-3191
54f0c1761f1c39ff0571923c026807f8,AUK 203
5551e24a84272383e854bba884b3ed28,Liberal Arts Hall (LBR)-3225
5553d96a35eba743c244173a5d0fc9f2,DBK 35
559e62f816f0593272272e55c4d58f89,Golisano Hall (GOL)-1455
55f67c5e9beab2364bdaa1eaab5d4144,Dubai D-110
56658230d5e58a355386d6ac61475902,George Eastman Hall (EAS)-3335
56a05bf179d77fdfff7c2af7d8fc6373,James E Booth (BOO)-4636
56d07535d37d65adb45822c763ec223b,Golisano Hall (GOL)-1400
56e26030c1fc28ec7f73ba891bb57fe8,Golisano Hall (GOL)-1190
5755486088f2d2c83bb0f7f9223f152c,Sustainability Inst(SUS)-3200
57d8018387b18e9e33b0db69a3cfa209,Engineering Hall (ENG)-2700
592dd18ce87527aa3532907ca03ec2f8,ZAG-35
599b93e83c1b5ffacf9f674d1fdb7a01,Frank E. Gannett (GAN)-1104
599d083f09b9b94295fcab362850e2e8,Thomas Gosnell Hall (GOS)-2365
5ab84bebf3bd7938bd5d74a11e1eebda,Lyndon Johnson Hall (LBJ)-1320
5ace555e0f7dff531bd62a9662367a7e,Wallace Library (WAL)-4480
5b9726c76777ee4c79509d10b83a9d39,ZAG-01
5b99f8ad350a2dac21257eb7792ddc87,Engineering Hall (ENG)-2700
5b9ada3f8aaf909907fc3df872fec7b7,Lyndon Johnson Hall (LBJ)-2345
5c2048840806c75c5a24ee42b78c2351,Lyndon Johnson Hall (LBJ)-2325
5d0165d808a3c7657a0ef9962aeaaaed,James E Gleason Hall(GLE)-2410
5d1b0c42d54d65a1f0faa3d78666944e,Golisano Hall (GOL)-3690
5d44c73753b5bcf4589302a9093af975,Lewis P Ross Hall (ROS)-A203
5d4be6d1188c056473e3ba359374cac4,AUK 301
5dbccacc1cd2940117cad65b00cf61be,Golisano Hall (GOL)-1320
5de04a7948d1b6d069f30351e9467e24,James E Booth (BOO)-3630
5e0d6f0ae875f54bc21e89be0f30c5d7,Thomas Gosnell Hall (GOS)-1174
5e274a345cd8e52356937d09f094e789,Dubai E-212
5e4ca3697222b02a7e913358f7accc38,Lyndon Johnson Hall (LBJ)-2470
5fc4a6f36d964cf72b1e83d12f855ba4,TBD
5fe8ba3d7184da789dd176d00c39176c,James E Booth (BOO)-3510
5fef156f0dd26b3f1dee5112aa26bc03,Dubai E-218
6026e0b5d6acf4840ed2ec4343d901e4,James E Booth (BOO)-1303
605ea1e7e21f4a33133d1b433cb0036b,James E Booth (BOO)-1620
60895c1df9ace32ecc4f9f88c33ebd5a,ZAG-09
61cee88e91adb4bd7d905d804475622c,Lyndon Johnson Hall (LBJ)-1560
61f42cfcd7989754c5397dfa20d982a6,Frank E. Gannett (GAN)-1212
622e73426408fc09c4437ffa846e2441,Golisano Hall (GOL)-2620
626e1dfaf48f4cc80b7846acac36d1ee,AUK 202
628637f1eca5cad962949428fb0e105e,Douglas Sprague Perry(DSP)1250
62afaff195e49e651b8feda5641b1beb,Lyndon Johnson Hall (LBJ)-1470
6335eb6f45cea19fc51f013b69a718af,Lyndon Johnson Hall (LBJ)-1460
6397bef85f9dc2bd303535ca68b593ff,Dubai G-216
63d7f1e6dc5287266112fc390828f4a0,Dubai C-003
6444018ee6032c6e48aa56dc6f0fd493,George Eastman Hall (EAS)-3381
644824b21c59593bd72ab4ef7ddf3752,James E Booth (BOO)-2520
64ac31fdb98d47853ee7668dc01575a1,Thomas Gosnell Hall (GOS)-2130
64b15d97e97eafa5e66b3f2f6478dd4a,Carlson Ctr Imaging (CAR)-3240
6506eb5ba3c73ecaeba28746721f84b6,Hugh L Carey Hall (HLC)-1201
653efe151949dfbee5f9befbc2b281ef,James E Booth (BOO)-2600
659664f64d373c9f07b0e434211685fe,Frank E. Gannett (GAN)-2070
659d4c64dc280f710cee9aefd0ac1d37,Engineering TechHall(ENT)-2125
65c7c8660a76700b533f1f48e1183ef0,Frank E. Gannett (GAN)-3153
65dfeaa53fd3aae1f4883ad7c647443b,James E Booth (BOO)-3540
66034955f0075350a8c73e2042ce3d10,MAGIC Spell Studios (MSS)-2150
6675f3a95791f013acd54a72d5278045,Dubai H-003
67929ccef535c998b7e175e528c23fdf,Dubai H-210
67d6da137bff12b6b11850d8fc1842ad,Dubai H-107
6815f1c8dce8e8a5836af8f8619ed9ba,James E Booth (BOO)-2631
684ce527922513c0ddd2702c11d4d466,Golisano Hall (GOL)-2740
68e7f9a5077148b3ef38b71f39903dcc,Orange Hall (ORN)-1375
697fde8d9400396e1499e51d2b14558e,Lyndon Johnson Hall (LBJ)-1440
6a69bfb5ec05e505c6fa4572d985f9d4,Thomas Gosnell Hall (GOS)-3178
6af14f7a5701e6d6957af1feb5a407be,Liberal Arts Hall (LBR)-3201
6b3edd5a2227f85f6a49fbda178c7418,Slaughter Hall (SLA)-A610
6b7aac6163f37fc29072230525da532c,Student Alumni Union(SAU)-1250
6b9195b3f59078becef8f5c43b631874,Frank E. Gannett (GAN)-1226
6b97b586e968562897148eb4cd6bbf95,James E Booth (BOO)-2631
6bccf2f7790cd9cc0839629aa83b69c8,James E Gleason Hall(GLE)-4435
6c1c35d1bff0fc22ae7689f11f990517,James E Booth (BOO)-4601
6c5a93872fb12a19490719c5f9933978,Engineering Hall (ENG)-2700
6c8a6d986897f4a1f9814448272960c7,Golisano Hall (GOL)-2455
6c96cf7ca127d09c3c0ca249bbda6d26,Wallace Library (WAL)-3440
6cd8914ecd3700d859cca993c52bd8e9,Golisano Hall (GOL)-1650
6d1712ce193d32edef04ead83c2ddfc0,Lyndon Johnson Hall (LBJ)-3710
6d2cc5314487e3e2fa0756cc2a4c52a8,Slaughter Hall (SLA)-1680
6d4fb93e8840768065d9d72def2a6271,James E Gleason Hall(GLE)-1149
6d57699ab3b84daa6d1a6ed454a304a2,Lewis P Ross Hall (ROS)-A255
6d720addd327a801eb9107a1a34e4912,Lyndon Johnson Hall (LBJ)-1510
6df6318341fb65afd24e3cf4bda37204,James E Booth (BOO)-3634
6f87f4539a90d8f3ce28bf06c6ef82cf,Golisano Hall (GOL)-3640
70255355c70c957a0163e039d76d7d88,Dubai B-106
704798c1a93e9b05065c65bb3666c8b8,AUK 302
70c461387d508c099c0be6110cb3ff49,Dubai D-114
71322ac6a5c9f0ccb629c0a014b433fc,Golisano Hall (GOL)-1530
71a13cc3edc531a47464833d73c56924,Slaughter Hall (SLA)-1530
7288235a15639dc5536690e2a2fd247f,Lyndon Johnson Hall (LBJ)-1520
72b565aea076cbaf66a76fea36f23fab,James E Gleason Hall(GLE)-2580
